userid,ADD BOOKMARK,ADD MARKER,ADD MEMO,ADD_HW_MEMO,BOOKMARK_JUMP,CHANGE MEMO,CLEAR_HW_MEMO,CLOSE,CLOSE_RECOMMENDATION,DELETE BOOKMARK,DELETE MARKER,DELETE_MEMO,GETIT,LINK_CLICK,MEMO_JUMP,NEXT,NOTGETIT,OPEN,OPEN_RECOMMENDATION,PAGE_JUMP,PREV,REGIST CONTENTS,SEARCH,SEARCH_JUMP,UNDO_HW_MEMO
02d679ad650962b6ae8bf8adbeeb33c1,4,188,28,8,4,25,0,38,0,2,50,6,0,0,15,1413,0,138,0,40,788,0,0,0,0
0307ea84b89fceab3b507fec1900ce7e,43,464,48,1,116,214,0,328,0,32,95,7,4,0,2,5400,1,405,0,80,2699,0,0,0,1
07376c0e999c285d498c430418059de0,2,256,10,0,0,6,0,87,0,2,18,0,1,0,0,4439,0,143,0,16,2041,0,0,0,0
0a715a568a054d7996fcbcbf17b36551,1,96,28,14,0,7,0,90,0,1,1,2,1,0,2,1550,0,121,0,5,680,0,0,0,0
0b6c3afa086c5e03a24665aa75a7a0f5,1,7,11,3,0,1,0,100,0,1,2,0,0,0,0,2560,0,167,0,300,1162,0,62,41,2
0c7b9053af0850d3eaa8b61de50a26cd,0,336,46,1,0,49,0,199,0,0,36,2,0,0,40,2966,0,240,0,4,1131,0,1,0,0
0cebfa477ed3e2e0c5a3f9aa96c23698,2,282,89,2,0,140,0,354,0,1,11,39,1,0,0,5242,1,419,0,215,2601,0,0,0,0
0ddd40d6312d4bdc3589bea15c47afa9,1,165,41,0,0,14,0,60,0,1,24,1,0,0,0,2110,0,91,0,31,595,0,3,0,0
12b9eba1adfb80bb4900d0f664d64729,0,154,9,0,0,7,0,45,0,0,6,0,0,0,0,1937,0,81,0,57,810,0,1,0,0
1361825bdeb54e5153e74389df8a2a10,6,248,32,0,1,14,0,119,0,2,0,0,4,0,0,4072,11,338,0,25,1253,0,0,0,0
139af8123e827b0b9d40871506216b7d,1,44,12,0,1,4,0,69,0,1,9,1,12,0,0,1282,12,99,0,23,597,0,0,0,0
14b40d138fb0d1e6d76b43d55611401a,5,205,27,0,2,65,0,125,0,4,79,0,1,0,23,6191,2,238,0,2,2638,0,0,0,0
1635c1bba7b734d85d12d005e5ef67a9,0,0,1,0,0,0,0,128,0,0,0,0,0,0,0,4271,0,173,0,64,1372,0,0,0,0
191ea163dc12fe1cb4c8397bd48f18aa,1,226,12,0,0,63,0,60,0,1,5,0,3,0,1,5456,3,212,0,1,1871,0,0,0,0
19ecb8185a0cef5d3d87a5d5d89fb1d1,1,42,14,0,0,11,0,32,0,1,2,0,0,0,0,1726,0,61,0,0,854,0,0,0,0
1a0c76d043eeff7842f46b9583570a50,0,105,9,0,0,25,0,97,0,0,12,0,2,0,0,3119,1,182,0,54,1246,0,0,0,0
1d6a9b03150137d40a4b024518aa0fa6,2,418,43,0,0,25,0,350,0,1,30,0,0,0,0,4744,0,453,0,7,1752,0,0,0,0
1e342325849367478c72fcded1149c65,0,33,5,0,0,0,0,91,0,0,2,0,0,0,4,3476,0,137,0,0,1315,0,22,3,0
213537eee9b97f1b39970a8d5cdce00c,10,205,35,0,1,82,0,42,0,5,34,20,0,0,0,2127,2,78,0,33,1204,0,0,0,0
21b5ad58ee31f6e6e5fc4ee9fbab05a7,1,145,18,1,0,9,0,23,0,0,11,2,0,0,6,801,0,62,0,136,307,0,7,6,1
2360852fcfec3ce90c573151f24adfd1,0,120,22,0,0,7,0,57,0,0,12,1,2,0,0,3909,2,140,0,4,1870,0,0,0,0
26a7d7505f05ed71817e2afec0b8d957,1,126,4,0,0,3,0,51,0,1,2,0,15,0,0,2047,7,68,0,6,889,0,0,0,0
27c8f93d752f0222aa211e0691cebee4,1,283,37,0,0,17,0,177,1,1,71,2,5,0,0,5625,0,437,0,13,2011,0,0,0,0
291a6ecd1a6e4a45fcb3f02c1cdcdf59,0,157,29,0,0,26,0,137,0,0,0,5,4,0,0,1970,0,175,0,36,701,0,0,0,0
2979bd5d5a584c2aa70f4a434412bc2b,7,310,32,36,2,14,0,205,0,7,49,3,7,0,0,3233,9,245,0,52,1376,0,0,0,0
2984b3dc3fbbdcd35ebe764dc30ca331,4,94,12,0,0,7,0,141,0,4,8,0,4,0,0,5146,1,167,0,24,2109,0,1,1,0
2aebc6de3f2abaa9253dfc7810b773d4,1,47,6,0,0,1,0,149,0,1,4,0,1,0,0,5479,0,208,0,23,2575,0,0,0,0
2bd3b13fa417ca0970aa75e44af86549,0,289,26,22,0,27,1,124,0,0,9,5,0,0,0,2359,0,152,0,36,1365,0,0,0,20
2c7048946097aef5bc1b96cc53585489,5,168,21,0,0,12,0,51,0,0,18,1,0,0,0,3264,0,110,0,8,1599,0,0,0,0
2ce542d10444443251e44a3a6dec6eb4,0,259,53,0,0,48,0,85,0,0,32,3,0,0,0,2601,3,133,0,61,1034,0,1,1,0
2efc0a548e80acbcaf2cfb9804e2faa3,0,211,9,0,0,15,0,115,0,0,19,0,2,0,0,4652,0,171,0,91,1662,0,0,0,0
320c71e05fde5152c26575798bfeb953,0,849,66,14,0,102,1,132,1,0,84,5,6,0,12,4123,1,328,0,108,1331,0,1,0,11
321fe53fdc9f70e4d17930e03cbd49e7,1,543,33,2,0,21,0,237,0,1,91,6,1,0,0,3687,0,304,0,22,1541,0,0,0,0
32e7400bb54ff66588587d2f2b1b22c2,4,35,26,1,0,14,0,216,0,4,7,1,1,0,12,3017,0,261,0,1,706,0,0,0,1
33387545d6a3c0ee607abff19b75abc7,5,13,7,8,0,5,3,35,0,5,0,2,2,0,0,1493,1,48,0,44,927,0,0,0,0
334ae80553d0d9888c59436a747e6435,3,271,33,0,0,31,0,59,0,3,39,4,0,0,0,3030,0,109,0,34,1421,0,0,0,0
33fe133f30a5f6f14bb08aabd4114d92,119,521,29,4,230,15,0,146,0,15,41,3,0,0,0,1289,2,166,0,5,313,0,4,0,0
34c778c98ed41d6cd2a37c5145033c4a,0,149,13,0,0,11,0,104,0,0,11,0,0,0,0,4669,0,147,0,20,2131,0,0,0,0
3723be496725be52bc640fd39aea51e6,1,249,25,0,0,28,0,202,0,1,11,0,1,0,2,4020,0,274,0,22,1725,0,0,0,0
3750e5317d2967d407e66236ad3b7ab5,12,460,28,0,14,43,0,147,0,3,25,0,2,0,0,2364,1,186,0,1,1083,0,0,0,0
379bbc4c2c728db0a249e8c4e6b621af,4,229,43,3,0,22,0,115,0,3,11,6,1,0,9,1361,1,142,0,1,360,0,0,0,0
399f141b63f3243b2064b321ed2b6e6b,0,151,17,0,0,9,0,74,0,0,0,1,0,0,0,2985,0,123,0,35,788,0,0,0,0
3b2d1d0d7c1f8bdb73bdfc45bf3cabeb,2,235,51,1,0,53,0,147,0,2,33,5,0,0,15,3767,0,198,0,497,1748,0,0,0,1
3d2fd5b219300a9aee7b21887a24c539,0,26,25,95,0,14,2,144,1,0,0,0,1,0,0,1306,0,196,0,116,312,0,0,0,1
3d606cd38291c1e5941bc1c37f84f216,8,393,37,0,10,30,0,116,2,0,11,0,2,0,0,3490,0,290,0,73,1305,0,0,0,0
