userid,score,class
4e3519d7eafbfccdae231756fcf2ce9c,79,a
379bbc4c2c728db0a249e8c4e6b621af,100,a
1361825bdeb54e5153e74389df8a2a10,65,a
4f9f1b81a07e3a192853ab1099a68fca,81,a
479e88f02385c56f386d07d59f02a3b2,75,a
f8bb7ed0860701686be0bcaad12dcee6,91,a
6df42c634fbdd9f3c1a33219e89e4939,83,a
dd48bc0174c3ca2370b0a49c2bd6fa82,89,a
0a715a568a054d7996fcbcbf17b36551,99,a
0cebfa477ed3e2e0c5a3f9aa96c23698,100,a
c07f5585e0746dbf1021e0534565fc94,96,a
43f0e2e3fc7691c51613758e2b65928e,90,a
f081b3cddc1a85f07c2560673f28547f,87,a
b1dfc5c6ec04d46d1823c5fa972ad320,99,a
a5841e53cf792922ad8a7c033329f09c,76,a
ef42bcd3300605e66dc7f8c01f773dec,99,a
f5fd1f70d1747238d53ec5ef722d68d7,89,a
a23402a174a55c4211136df4425a724e,88,a
ef3a6cc38845548b4329271ac48d638d,77,a
82641bcdf4d62d9f473022a2bee912d4,90,a
b84f9624c8d995c6b945afc898bd9973,82,a
b64ce7758b9f7e58f1ad8bbcf7811e7d,89,a
bebc49073c8a5def929612def946c281,91,a
fbc64c2a6c18eb693cb24d8081e034df,81,a
c4430d195d70c8839843f381270e93cd,10,a
a0dce576762dccbadb3476bad1732c82,87,a
a92f1708363527a34d93b0bc7840262c,86,a
b69c06f1f563ace3c69c7b32f2a6c850,91,a
604adb5a2ffd0f8313a8b6f1da784ba5,83,a
3d606cd38291c1e5941bc1c37f84f216,97,a
deab088838618d0f80db74ae4a277269,90,a
6d5a2a59f6f376602a835fe57c70455b,63,a
87959ef435c61f280e3402229c796940,100,a
be9c58e4a639094d9f2c8bfec91afc16,73,a
c054e8c731029ce6d73c784213513b09,100,a
41ec69e13985861a5b014318f13ab1e1,28,a
8f5bbf339fb86953ffe9148794fcc52a,34,a
86348207eecbbfef7db739a2f6595e18,80,a
95289197f5de3bb81c7622133a0199ee,95,a
ca7f48cb0d61ed7c967adf1a0010367e,49,a
9feda7bbf2a2e9b1b6ed4a1daa538960,72,a
b2d48f67a089cc23fb2bc7729f8a2300,61,a
e5d4b572258708faa5eb1c382eaba86c,85,a
bd47306d1ab10377783e37d4d363e482,99,a
291a6ecd1a6e4a45fcb3f02c1cdcdf59,78,a
c3b33b73130d1e4649f10117f7508195,85,a
139af8123e827b0b9d40871506216b7d,53,a
2bd3b13fa417ca0970aa75e44af86549,92,a
27c8f93d752f0222aa211e0691cebee4,100,a
f65238cddaeec1be538e9c1a5990e48f,100,a
acc2ce1e332284a8a55fb7e2fd8bf7c3,83,a
a3891cc21e1dd0051caa212b95c928f0,84,a
a7e82fef913fa275bef458aade2e5ae4,88,a
92c1e87578f7b00e26df9d0ad21c63da,90,a
a6f51cc7deb4cb5c5f493747f0e6e3a5,82,a
641eaeb08588407b37b1c2c109b59761,70,a
d60df871c935791074fe3fc9c919b1e4,58,a
0307ea84b89fceab3b507fec1900ce7e,86,a
a6a0726e8604766b4636749d9203842b,86,a
2979bd5d5a584c2aa70f4a434412bc2b,93,a
4c2a6bec22f436e1b14bbefa24443b4d,93,a
481c56986ebae62c870b0da9bbafc5c6,91,a
5f1981994e777f8d76c45df9adfc8662,100,a
33fe133f30a5f6f14bb08aabd4114d92,19,b
a2dc2d0036c53b22cb9fb6bc280809f5,95,b
6ae71a054e9a503a1f0950de131833a2,92,b
8e72970e2fdad1fa564d800ba15d72c4,82,b
3750e5317d2967d407e66236ad3b7ab5,100,b
65e452ca8afdf0ba6a8cbc4af63da728,90,b
5d83718570cad6c421fc5c9e9b80159e,90,b
d5d6ef4cf638f306e8948582b7662c45,100,b
59d4d32d1adaab3ed5ecbf5ca9d728ca,90,b
5104564f160fb05b4b79bbdb09c03c4f,90,b
3e5fd8ec3f352d90ff3906ae403ebeac,94,b
9879db96946fbb8a3e255ab8815c577e,95,b
32e7400bb54ff66588587d2f2b1b22c2,89,b
cb75e24ff92bb3f07f0051b945d5295b,89,b
77174b6a21fc52977ea8a50f8e325beb,74,b
6f07da24588ef7be16618bbe848d2aa6,98,b
579c29c5407ed999b692374653d25a61,87,b
e4f677ad43c84ada8abc579c6abf9aee,100,b
4e4fc034dea12369dc5de555ad478a07,91,b
3d2fd5b219300a9aee7b21887a24c539,96,b
cdac3b51658dd26dd9cb7a70260f9af5,89,b
f0c4f08113a2bc5a9275dd881c616a92,83,b
76fa75f0e9cd794207dda975ca84dfb3,89,b
c2e15430ed832457c780c948b21c37ec,100,b
60085c119be41ce2a56c2576583d821c,100,b
f79d398d62d5eaff8d7b1f9f6aaf65ab,92,b
d5a1f82d20610cfc2ee2df22e16ad238,97,b
ef64bcdb755a678ecea401b713fee614,88,b
97ff350207ca6a952e2b62129e0549f0,87,b
92f1d409e9283fc62ebc7d59279f15c3,83,b
f1641addf883c1130a801d06d07eef4c,67,b
f83882e0705489c3c0514fe226fdda4f,65,b
52de7db1d670939f4381ac9c9e0e4f38,44,b
7359eff18cfd86cf045a149530e26627,55,b
995eae68fe66f02aa88128425cc87e81,84,b
1d6a9b03150137d40a4b024518aa0fa6,94,b
98a2576c48530076abcaf557f266efd9,94,b
af4a88df59c0df41ee7fca0ca57fba3a,87,b
3723be496725be52bc640fd39aea51e6,90,b
7c74f9e3da2ec3ebf687ed4da9a1f82b,57,b
b7848fb18dbf386464e7cb7c37758241,93,b
0c7b9053af0850d3eaa8b61de50a26cd,95,b
320c71e05fde5152c26575798bfeb953,93,b
b3544e076d49acb0dd2af969419895f0,94,b
8b1862b185a8d8e375ab781e55e3c39a,90,b
d21e4243dd618580580846f676c2b85a,75,b
6a574b00e6da1dad01065f3d90738721,97,b
321fe53fdc9f70e4d17930e03cbd49e7,75,b
9b430de7406c68bb31fd726c99ac3558,93,b
82dc7d436327c606540768cb9f3b55ee,10,b
7b5bd317f5674f7d064f43ca1b6fe259,5,b
93229bfed1b03a573e6139c21fc4e5c7,73,b
