userid,code_copy,code_execution,code_paste,code_speed,notebook_open,tree_open,AttributeError,FileNotFoundError,ImportError,IndentationError,IndexError,KeyError,KeyboardInterrupt,ModuleNotFoundError,NameError,RecursionError,SyntaxError,TabError,TypeError,UnboundLocalError,ValueError,ZeroDivisionError,code_length,HTTPError,SelectorSyntaxError,OverflowError
081d3aeee0b521170940fc806c0addb3,206,697,248,2922,114,39,0.0,0.0,0.0,10.0,5.0,1.0,0.0,1.0,13.0,1.0,61.0,0.0,18.0,2.0,14.0,0.0,6789.0,0.0,0.0,0.0
0a715a568a054d7996fcbcbf17b36551,256,549,258,1914,59,42,7.0,0.0,0.0,37.0,2.0,0.0,2.0,0.0,4.0,0.0,38.0,0.0,19.0,0.0,0.0,0.0,2670.0,0.0,0.0,0.0
0cebfa477ed3e2e0c5a3f9aa96c23698,143,749,189,2030,121,35,4.0,0.0,0.0,4.0,12.0,0.0,3.0,0.0,20.0,1.0,73.0,3.0,15.0,1.0,0.0,0.0,3517.0,0.0,0.0,0.0
1321659786f9e0c32af2754dbdf60fd6,74,902,57,1687,26,20,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,19.0,0.0,81.0,0.0,9.0,0.0,0.0,0.0,6351.0,0.0,0.0,0.0
1361825bdeb54e5153e74389df8a2a10,89,461,120,1218,41,41,0.0,0.0,0.0,20.0,0.0,0.0,6.0,0.0,11.0,0.0,67.0,0.0,7.0,0.0,0.0,0.0,3647.0,0.0,0.0,0.0
1ba8dbcf46d253fb9949f0b92ba1a452,318,776,389,3243,131,50,1.0,0.0,0.0,73.0,2.0,1.0,0.0,0.0,12.0,0.0,129.0,4.0,8.0,1.0,4.0,0.0,2415.0,0.0,0.0,0.0
211860a78f1bcae97a1dba9f9a22b7bf,223,792,278,2137,81,60,2.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,14.0,1.0,139.0,0.0,20.0,1.0,2.0,0.0,4019.0,0.0,0.0,0.0
21b08245b4a3dda6c91b3119c73496fe,134,433,191,1644,72,49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,48.0,0.0,4.0,0.0,5.0,0.0,1484.0,0.0,0.0,0.0
27c8f93d752f0222aa211e0691cebee4,354,671,471,3302,156,56,1.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,6.0,0.0,45.0,0.0,6.0,0.0,3.0,0.0,2373.0,0.0,0.0,0.0
379bbc4c2c728db0a249e8c4e6b621af,35,182,84,667,43,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,1418.0,0.0,0.0,0.0
3c4175d74f19cbb12f258ce407fecc3e,63,799,140,1737,16,18,3.0,0.0,0.0,8.0,3.0,0.0,2.0,0.0,15.0,0.0,20.0,0.0,11.0,0.0,0.0,0.0,1709.0,0.0,0.0,0.0
3d606cd38291c1e5941bc1c37f84f216,191,450,210,2279,77,36,2.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,3.0,0.0,44.0,3.0,20.0,1.0,0.0,0.0,2082.0,0.0,0.0,0.0
41ec69e13985861a5b014318f13ab1e1,26,80,39,581,39,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,988.0,0.0,0.0,0.0
43f0e2e3fc7691c51613758e2b65928e,268,1356,593,3513,233,93,0.0,0.0,0.0,88.0,10.0,0.0,0.0,0.0,28.0,1.0,203.0,0.0,52.0,0.0,10.0,0.0,3141.0,0.0,0.0,0.0
446bc4225d6b237e016e5cc1799abc8e,107,323,231,1174,54,24,3.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,10.0,0.0,27.0,3.0,5.0,0.0,1.0,0.0,2279.0,0.0,0.0,0.0
44898c0dfe02ca569f7b4928c314d0c1,311,565,322,4836,140,54,0.0,0.0,0.0,13.0,0.0,1.0,3.0,0.0,16.0,0.0,65.0,4.0,6.0,0.0,0.0,0.0,6934.0,0.0,0.0,0.0
479e88f02385c56f386d07d59f02a3b2,269,1073,356,3712,174,83,10.0,0.0,0.0,28.0,3.0,1.0,2.0,0.0,52.0,3.0,157.0,1.0,29.0,3.0,2.0,0.0,2958.0,0.0,0.0,0.0
4c36b4e7c3595c6c9c496a1fb2a16a9f,31,348,83,1303,46,26,3.0,0.0,0.0,3.0,6.0,7.0,0.0,0.0,6.0,0.0,15.0,0.0,23.0,0.0,0.0,0.0,2443.0,0.0,0.0,0.0
4d5020e4a9f9e53554261c9bd1fb67ff,273,1176,449,3398,103,52,4.0,0.0,0.0,31.0,14.0,0.0,13.0,0.0,23.0,0.0,71.0,0.0,14.0,0.0,2.0,0.0,2739.0,0.0,0.0,0.0
4d5aa32c5ca76569943f75925345dc86,61,112,52,714,25,13,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1709.0,0.0,0.0,0.0
4d7517e46c1ce5906580b6ee37bd3702,51,179,115,802,33,16,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,15.0,0.0,2.0,0.0,1.0,0.0,2499.0,0.0,0.0,0.0
4e3519d7eafbfccdae231756fcf2ce9c,377,917,466,4720,322,117,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,9.0,0.0,88.0,6.0,4.0,0.0,1.0,0.0,4236.0,0.0,0.0,0.0
4f9f1b81a07e3a192853ab1099a68fca,90,561,267,2292,98,50,3.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,6.0,0.0,69.0,0.0,6.0,0.0,0.0,0.0,2708.0,0.0,0.0,0.0
641eaeb08588407b37b1c2c109b59761,55,1073,58,2457,45,52,11.0,0.0,0.0,28.0,10.0,1.0,0.0,0.0,40.0,0.0,166.0,0.0,39.0,0.0,0.0,0.0,5039.0,0.0,0.0,0.0
6d5a2a59f6f376602a835fe57c70455b,6,126,22,862,37,19,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,39.0,0.0,1.0,0.0,0.0,0.0,2527.0,0.0,0.0,0.0
6df42c634fbdd9f3c1a33219e89e4939,199,1398,317,5673,105,57,0.0,0.0,0.0,61.0,8.0,4.0,0.0,0.0,26.0,0.0,172.0,0.0,28.0,1.0,2.0,0.0,18523.0,0.0,0.0,0.0
7b1a0e3ba028303a4ffd099398800200,24,133,62,601,25,19,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,39.0,0.0,0.0,0.0,2.0,0.0,1091.0,0.0,0.0,0.0
82641bcdf4d62d9f473022a2bee912d4,110,417,150,1479,69,34,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,63.0,1.0,1.0,0.0,0.0,0.0,1467.0,0.0,0.0,0.0
8604f98c0f1f32460124de379a1af453,601,1063,754,2925,133,39,4.0,0.0,0.0,52.0,1.0,0.0,2.0,0.0,17.0,0.0,119.0,0.0,41.0,0.0,1.0,1.0,2041.0,0.0,0.0,0.0
86348207eecbbfef7db739a2f6595e18,126,596,355,1553,45,28,6.0,0.0,0.0,12.0,5.0,0.0,20.0,0.0,12.0,0.0,67.0,0.0,10.0,0.0,4.0,0.0,1853.0,0.0,0.0,0.0
87959ef435c61f280e3402229c796940,27,136,45,312,18,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,3037.0,0.0,0.0,0.0
8f5bbf339fb86953ffe9148794fcc52a,20,28,19,243,29,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,410.0,0.0,0.0,0.0
