userid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1d6a9b03150137d40a4b024518aa0fa6,4,4,5,4,4,2,3,5,5,3,2,4,4,5,3,4,2,4,4,3,3,2,3
59d4d32d1adaab3ed5ecbf5ca9d728ca,3,3,1,5,3,1,3,4,3,5,4,5,5,3,3,4,4,3,3,3,3,4,4
76fa75f0e9cd794207dda975ca84dfb3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
a2dc2d0036c53b22cb9fb6bc280809f5,4,3,1,4,4,3,4,5,1,4,3,4,5,4,2,2,2,4,5,5,4,4,2
f83882e0705489c3c0514fe226fdda4f,3,2,1,5,3,1,3,5,2,4,2,5,3,4,4,4,4,3,2,3,5,2,3
7359eff18cfd86cf045a149530e26627,4,3,3,4,3,2,2,4,4,2,2,4,4,4,3,3,3,3,3,3,4,3,4
d21e4243dd618580580846f676c2b85a,3,3,5,4,3,3,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,4
321fe53fdc9f70e4d17930e03cbd49e7,4,3,5,5,4,4,3,5,3,3,3,4,5,4,3,3,3,4,3,3,3,3,3
60085c119be41ce2a56c2576583d821c,4,4,4,5,3,2,4,5,3,3,2,4,3,5,4,4,4,4,2,3,4,2,4
8b1862b185a8d8e375ab781e55e3c39a,5,3,5,4,4,3,4,5,4,5,3,5,5,5,5,4,4,5,4,4,5,5,4
9b430de7406c68bb31fd726c99ac3558,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
320c71e05fde5152c26575798bfeb953,5,4,4,5,5,3,4,4,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5
92f1d409e9283fc62ebc7d59279f15c3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
af4a88df59c0df41ee7fca0ca57fba3a,3,3,3,3,3,2,2,3,3,2,2,3,2,3,3,3,3,3,3,2,3,2,3
5d83718570cad6c421fc5c9e9b80159e,2,2,5,5,4,1,2,5,5,2,1,2,4,4,4,4,3,3,2,2,2,2,4
f1641addf883c1130a801d06d07eef4c,5,2,3,4,5,2,2,4,4,1,1,4,4,4,3,3,3,2,1,2,2,2,3
8792667543b9f7376fb03c96b4b485a6,3,2,3,3,2,1,3,4,4,5,1,2,4,3,3,2,2,4,2,3,4,1,3
93229bfed1b03a573e6139c21fc4e5c7,4,4,5,3,4,2,2,4,3,3,3,4,4,5,3,3,3,3,3,3,5,3,3
