userid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
098f6bcd4621d373cade4e832627b4f6,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0
0cebfa477ed3e2e0c5a3f9aa96c23698,4,3,4,5,4,2,4,5,4,4,2,4,4,5,5,5,5,5,4,4,3,4,5,5.0,5.0
ef42bcd3300605e66dc7f8c01f773dec,5,4,5,5,5,4,4,5,5,4,4,5,5,5,5,4,4,4,4,4,3,3,3,4.0,4.0
3d606cd38291c1e5941bc1c37f84f216,4,2,3,4,3,1,3,5,3,4,1,3,2,4,3,2,2,3,3,4,4,3,3,2.0,4.0
b84f9624c8d995c6b945afc898bd9973,3,2,5,5,3,2,5,5,5,5,2,4,5,5,3,3,5,5,3,3,5,1,3,2.0,5.0
f081b3cddc1a85f07c2560673f28547f,4,3,5,4,4,2,3,5,4,2,1,4,4,5,4,5,5,4,4,4,5,2,4,4.0,5.0
f5fd1f70d1747238d53ec5ef722d68d7,4,3,4,4,4,3,3,5,5,4,3,4,3,4,4,4,4,4,3,4,3,3,3,3.0,4.0
c054e8c731029ce6d73c784213513b09,5,5,1,5,3,2,5,5,1,5,5,5,4,5,5,5,5,2,1,2,4,5,5,2.0,2.0
ef3a6cc38845548b4329271ac48d638d,4,2,4,2,3,2,4,3,5,2,4,2,2,4,2,3,4,4,3,4,4,2,3,4.0,2.0
0a715a568a054d7996fcbcbf17b36551,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0
a6f51cc7deb4cb5c5f493747f0e6e3a5,3,3,1,3,3,1,2,4,3,4,2,3,4,3,3,3,3,3,3,3,2,2,3,2.0,2.0
a5841e53cf792922ad8a7c033329f09c,3,4,4,3,3,2,4,4,4,3,2,4,4,3,4,4,3,4,4,4,4,3,3,4.0,3.0
a92f1708363527a34d93b0bc7840262c,3,3,5,4,4,3,3,5,5,3,3,5,3,5,5,5,3,3,3,3,5,3,5,3.0,3.0
8f5bbf339fb86953ffe9148794fcc52a,4,3,5,4,4,3,3,3,4,1,2,4,5,4,4,4,4,3,3,3,5,3,4,4.0,4.0
43f0e2e3fc7691c51613758e2b65928e,4,3,3,4,4,3,4,5,5,4,3,5,5,5,4,3,3,5,5,5,3,3,4,3.0,3.0
c07f5585e0746dbf1021e0534565fc94,4,3,4,5,4,3,4,5,2,4,3,5,3,5,2,3,3,4,5,4,3,2,2,2.0,4.0
c3b33b73130d1e4649f10117f7508195,4,4,4,4,3,3,3,4,4,4,3,4,4,4,3,3,3,3,4,4,4,3,4,4.0,4.0
a3891cc21e1dd0051caa212b95c928f0,3,3,1,2,2,2,3,5,3,4,3,4,5,3,3,3,3,4,4,3,3,3,2,3.0,3.0
82641bcdf4d62d9f473022a2bee912d4,5,3,5,5,5,3,5,5,5,4,3,5,5,5,5,5,3,5,5,5,5,3,5,5.0,3.0
a23402a174a55c4211136df4425a724e,3,2,4,3,3,2,3,5,4,4,2,4,4,4,4,4,4,4,3,4,4,3,4,3.0,3.0
fbc64c2a6c18eb693cb24d8081e034df,5,3,5,4,5,2,3,4,3,5,2,5,3,4,2,3,3,4,4,4,2,2,4,4.0,4.0
641eaeb08588407b37b1c2c109b59761,4,5,2,5,3,3,4,5,2,5,5,5,3,5,3,4,4,5,4,4,5,3,4,3.0,4.0
479e88f02385c56f386d07d59f02a3b2,3,2,4,4,3,2,2,4,3,1,2,4,2,4,3,3,3,2,2,2,3,2,4,3.0,4.0
b64ce7758b9f7e58f1ad8bbcf7811e7d,5,5,5,5,4,3,5,5,5,4,4,5,5,5,5,5,5,5,5,5,3,4,5,5.0,5.0
86348207eecbbfef7db739a2f6595e18,4,4,4,4,4,3,4,3,4,3,4,4,5,5,4,4,4,5,5,5,5,3,5,5.0,5.0
1361825bdeb54e5153e74389df8a2a10,3,3,3,3,3,3,2,3,2,2,2,3,3,3,3,3,3,2,3,2,4,3,2,3.0,3.0
e5d4b572258708faa5eb1c382eaba86c,4,4,4,4,4,4,3,3,4,4,4,4,2,4,4,3,4,4,4,4,5,4,4,4.0,4.0
bd47306d1ab10377783e37d4d363e482,4,4,3,4,4,3,4,4,2,4,3,4,3,4,3,4,4,5,3,3,3,3,3,3.0,3.0
4f9f1b81a07e3a192853ab1099a68fca,5,4,4,5,5,3,4,5,4,4,4,5,3,5,5,4,5,4,3,4,5,3,5,4.0,4.0
0307ea84b89fceab3b507fec1900ce7e,5,3,3,4,4,3,3,5,3,2,3,4,3,5,4,4,3,4,4,4,4,3,4,3.0,3.0
f8bb7ed0860701686be0bcaad12dcee6,2,1,1,5,2,1,3,5,2,2,1,2,1,5,5,5,3,4,4,3,5,3,5,3.0,4.0
bebc49073c8a5def929612def946c281,3,3,1,4,2,2,3,5,3,5,1,5,1,3,2,2,3,4,4,3,4,2,2,2.0,3.0
