userid,e_1,e_2,e_3,e_4,e_5,e_6,e_7,e_8,e_9,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_20,e_21,e_22,e_23,e_24,e_25
5f1981994e777f8d76c45df9adfc8662,3,2,3,4,3,3,3,3,5,5,4,5,4,3,1,2,3,3,3,3,3,4,2,4,5
dd48bc0174c3ca2370b0a49c2bd6fa82,4,4,4,4,4,3,3,4,4,4,3,4,3,4,4,3,3,4,4,4,4,3,4,3,4
8f5bbf339fb86953ffe9148794fcc52a,4,3,4,4,4,3,3,3,4,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4
e5d4b572258708faa5eb1c382eaba86c,5,3,3,4,4,2,2,4,4,4,4,4,4,4,5,5,4,3,5,5,5,2,5,5,5
6df42c634fbdd9f3c1a33219e89e4939,4,4,4,4,5,3,5,5,4,4,3,5,4,5,5,4,4,5,5,4,4,4,4,3,4
f081b3cddc1a85f07c2560673f28547f,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
b84f9624c8d995c6b945afc898bd9973,3,4,3,4,3,3,3,4,3,4,4,5,3,5,3,3,2,5,3,4,4,1,2,3,5
a5841e53cf792922ad8a7c033329f09c,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
a23402a174a55c4211136df4425a724e,3,3,4,3,4,3,3,5,5,4,3,3,3,3,3,3,4,4,4,4,3,2,4,4,3
139af8123e827b0b9d40871506216b7d,5,3,5,5,5,2,4,5,5,5,3,5,3,5,5,3,4,5,5,5,5,2,5,5,5
bd47306d1ab10377783e37d4d363e482,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3,3,4,3,3
87959ef435c61f280e3402229c796940,5,5,5,5,5,3,4,4,3,3,3,4,4,5,5,4,3,4,3,3,4,3,3,3,3
1361825bdeb54e5153e74389df8a2a10,4,4,3,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,5,3,3,3,3
ef3a6cc38845548b4329271ac48d638d,2,1,3,2,3,1,5,5,4,2,2,4,2,5,5,4,4,4,3,4,5,1,3,4,3
2bd3b13fa417ca0970aa75e44af86549,3,1,1,3,2,1,3,3,1,2,1,3,2,4,2,2,1,4,3,2,5,1,2,1,1
641eaeb08588407b37b1c2c109b59761,4,4,2,5,4,3,3,5,3,4,4,5,5,5,5,5,5,5,5,5,5,2,5,3,5
291a6ecd1a6e4a45fcb3f02c1cdcdf59,5,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
d60df871c935791074fe3fc9c919b1e4,4,4,3,4,5,4,3,5,5,5,4,5,4,5,5,5,5,5,5,5,5,4,4,5,5
f65238cddaeec1be538e9c1a5990e48f,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,3,3
a3891cc21e1dd0051caa212b95c928f0,4,3,4,4,4,3,3,4,4,4,3,4,4,4,3,4,4,4,4,4,3,3,3,4,4
c4430d195d70c8839843f381270e93cd,4,3,4,5,4,4,4,3,5,3,4,5,5,5,2,4,4,5,5,5,1,5,4,5,5
a6f51cc7deb4cb5c5f493747f0e6e3a5,4,3,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,4,4,4,3,3,4,3,4
481c56986ebae62c870b0da9bbafc5c6,4,4,4,4,4,4,4,5,5,4,2,4,5,5,5,5,4,5,3,4,5,5,5,5,5
a7e82fef913fa275bef458aade2e5ae4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,3,4,4,3,4,4,3,3,4,4,4
bebc49073c8a5def929612def946c281,4,3,1,5,4,1,4,5,5,5,1,4,1,4,2,3,2,4,4,4,3,2,2,2,4
ac1e76937ad33baafa1c9d0fc8675ea2,4,2,4,4,4,2,5,5,5,2,2,4,5,5,4,4,4,5,4,4,2,2,4,4,4
27c8f93d752f0222aa211e0691cebee4,5,3,5,5,4,3,5,5,5,5,3,4,3,5,5,5,4,4,3,3,5,3,5,4,5
c07f5585e0746dbf1021e0534565fc94,4,2,3,4,4,2,4,4,3,4,3,4,4,5,3,3,3,4,5,5,4,2,3,2,4
e7c31c99746c006608f2d55c633af5e3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
41ec69e13985861a5b014318f13ab1e1,5,3,3,5,5,4,4,4,5,5,3,5,3,5,5,5,5,5,5,5,3,3,5,5,5
fbc64c2a6c18eb693cb24d8081e034df,4,4,3,4,2,4,3,5,4,4,5,3,4,4,4,4,4,4,4,5,5,3,4,5,4
604adb5a2ffd0f8313a8b6f1da784ba5,4,3,3,4,4,3,3,4,3,4,2,4,3,4,4,4,4,4,4,4,3,4,4,4,4
2979bd5d5a584c2aa70f4a434412bc2b,4,3,5,5,4,2,1,5,3,3,3,5,3,5,4,4,4,4,4,4,1,1,3,5,3
0cebfa477ed3e2e0c5a3f9aa96c23698,4,3,3,4,3,2,3,4,4,4,3,4,2,4,4,4,4,4,4,4,4,3,3,4,4
deab088838618d0f80db74ae4a277269,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,4,4,4
c054e8c731029ce6d73c784213513b09,4,5,2,5,5,5,5,5,5,1,3,5,5,5,5,5,5,4,3,2,1,4,4,4,5
92c1e87578f7b00e26df9d0ad21c63da,5,4,2,5,5,2,4,5,4,5,4,3,3,5,5,5,5,5,5,5,3,3,5,3,5
ca7f48cb0d61ed7c967adf1a0010367e,4,5,3,4,4,3,4,4,4,5,3,4,4,5,4,4,4,4,4,4,4,3,4,4,4
b1dfc5c6ec04d46d1823c5fa972ad320,4,5,1,5,4,3,3,5,2,5,3,5,5,5,4,5,5,5,5,5,1,5,4,2,4
6d5a2a59f6f376602a835fe57c70455b,4,2,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
