,id,1. I listen carefully to everything that is said in class,2. I ask questions about what I do not know.,3. I interact with my peers during class.,4. I strive to understand lessons during class.,5. I am alert during class.,6. I always participate in discussions with my teacher.,7. I am always eager to attend class.,8. I always complete my assignments.,9. I prefer to complete activities and assignments during class with my instructor and peers.,10. Enough time is provided during class for practice activities and discussions.,11. I always ask the instructor about difficult content.,12. I attempt to apply things that I learned during class.,13. I relate to my peers and discuss with them what I learned at home.,14. I strive to acquire new knowledge about the course.,15. Being familiar with the content prior to attending class motivates me and increases my engagement.,16. Preparing for lessons enables me to communicate better with my peers and the instructor.,17. Familiarizing myself with content prior to attending a lecture enables me to share what I learned with others during class.,18. I enjoy the class.,19. The teaching method practiced by the instructor is enjoyable.,20. I enjoy the practice activities conducted during class.,21. I enjoy studying content at home.,22. I like it when the instructor asks me questions.,23. I am optimistic when I go to class with an understanding of the content.,24. Participating in class discussions boosts my confidence.,25. Solving and sharing problems during class is enjoyable.,"Before taking this course, have you learned any programming languages? No, please answer no. If yes, please fill in which programming languages you have learned.",Before class overview (Survey) course content,I will ask myself questions about the content of the course before class(Question),I have prepared the content of the course through detailed reading before class,I will review the content of the course in the summary activity in the class or through the recall after the class.,I will review the content of the course after class,I think SQ3R reading strategy is helpful to my study,I think filling in the course questionnaire is helpful to my study,"Regarding the questionnaire content (participation, SQ3R), what do you want to say to the teacher"
0,0cebfa477ed3e2e0c5a3f9aa96c23698,4,3,4,5,4,2,4,5,4,4,2,4,4,5,5,5,5,5,4,4,3,4,5,5,5,c,5,5,4,5,4,5.0,3.0,
1,ef42bcd3300605e66dc7f8c01f773dec,5,4,5,5,5,4,4,5,5,4,4,5,5,5,5,4,4,4,4,4,3,3,3,4,4,無,3,2,3,5,5,3.0,2.0,
2,3d606cd38291c1e5941bc1c37f84f216,4,2,3,4,3,1,3,5,3,4,1,3,2,4,3,2,2,3,3,4,4,3,3,2,4,有,3,2,3,3,3,2.0,3.0,
3,b84f9624c8d995c6b945afc898bd9973,3,2,5,5,3,2,5,5,5,5,2,4,5,5,3,3,5,5,3,3,5,1,3,2,5,JAVA,3,2,3,3,3,3.0,3.0,
4,f081b3cddc1a85f07c2560673f28547f,4,3,5,4,4,2,3,5,4,2,1,4,4,5,4,5,5,4,4,4,5,2,4,4,5,無,4,3,4,4,4,3.0,3.0,
5,f5fd1f70d1747238d53ec5ef722d68d7,4,3,4,4,4,3,3,5,5,4,3,4,3,4,4,4,4,4,3,4,3,3,3,3,4,無,3,3,4,4,4,3.0,3.0,
6,c054e8c731029ce6d73c784213513b09,5,5,1,5,3,2,5,5,1,5,5,5,4,5,5,5,5,2,1,2,4,5,5,2,2,無,5,5,5,5,5,4.0,1.0,
7,ef3a6cc38845548b4329271ac48d638d,4,2,4,2,3,2,4,3,5,2,4,2,2,4,2,3,4,4,3,4,4,2,3,4,2,無,1,2,2,3,3,2.0,3.0,
8,0a715a568a054d7996fcbcbf17b36551,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,無,3,3,4,4,4,4.0,4.0,無
9,a6f51cc7deb4cb5c5f493747f0e6e3a5,3,3,1,3,3,1,2,4,3,4,2,3,4,3,3,3,3,3,3,3,2,2,3,2,2,無,5,4,2,3,4,3.0,3.0,
