,id,1.  I try my best not to be absent-minded.,2.  I can ignore the noise of the surrounding environment and focus on learning content.,3. It is easy for me to lose my concentration.,"4.  Even if the contents are not interesting, I can still concentrate on them.",5. It is hard for me to keep concentration for 15 min.,6. My mind wandered.,7.  I often forget what I just learn.,8. It is difficult for me to pay attention to the details.,9.  I can notice the key points of learning contents.,10. I can grasp the main points and fully understand. ,1. I listen carefully to everything that is said in class,2. I ask questions about what I do not know.,3. I interact with my peers during class.,4. I strive to understand lessons during class.,5. I am alert during class.,6. I always participate in discussions with my teacher.,7. I am always eager to attend class.,8. I always complete my assignments.,9. I prefer to complete activities and assignments during class with my instructor and peers.,10. Enough time is provided during class for practice activities and discussions.,11. I always ask the instructor about difficult content.,12. I attempt to apply things that I learned during class.,13. I relate to my peers and discuss with them what I learned at home.,14. I strive to acquire new knowledge about the course.,15. Being familiar with the content prior to attending class motivates me and increases my engagement.,16. Preparing for lessons enables me to communicate better with my peers and the instructor.,17. Familiarizing myself with content prior to attending a lecture enables me to share what I learned with others during class.,18. I enjoy the class.,19. The teaching method practiced by the instructor is enjoyable.,20. I enjoy the practice activities conducted during class.,21. I enjoy studying content at home.,22. I like it when the instructor asks me questions.,23. I am optimistic when I go to class with an understanding of the content.,24. Participating in class discussions boosts my confidence.,25. Solving and sharing problems during class is enjoyable.
1,5f1981994e777f8d76c45df9adfc8662,3,2,4,2,3,4,2,4,3,4,3,2,3,4,3,3,3,3,5,5,4,5,4,3,1,2,3,3,3,3,3,4,2,4,5
2,dd48bc0174c3ca2370b0a49c2bd6fa82,4,4,3,4,3,3,4,3,4,3,4,4,4,4,4,3,3,4,4,4,3,4,3,4,4,3,3,4,4,4,4,3,4,3,4
3,8f5bbf339fb86953ffe9148794fcc52a,4,3,3,3,2,2,3,3,3,3,4,3,4,4,4,3,3,3,4,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4
4,e5d4b572258708faa5eb1c382eaba86c,5,2,4,2,2,4,1,2,4,4,5,3,3,4,4,2,2,4,4,4,4,4,4,4,5,5,4,3,5,5,5,2,5,5,5
5,6df42c634fbdd9f3c1a33219e89e4939,5,3,4,4,1,2,3,4,3,3,4,4,4,4,5,3,5,5,4,4,3,5,4,5,5,4,4,5,5,4,4,4,4,3,4
6,f081b3cddc1a85f07c2560673f28547f,4,3,3,4,3,3,2,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7,b84f9624c8d995c6b945afc898bd9973,3,2,4,2,2,4,4,5,3,3,3,4,3,4,3,3,3,4,3,4,4,5,3,5,3,3,2,5,3,4,4,1,2,3,5
8,a5841e53cf792922ad8a7c033329f09c,4,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
9,a23402a174a55c4211136df4425a724e,4,3,4,3,2,4,4,2,3,3,3,3,4,3,4,3,3,5,5,4,3,3,3,3,3,3,4,4,4,4,3,2,4,4,3
10,139af8123e827b0b9d40871506216b7d,3,3,2,4,1,1,2,2,4,3,5,3,5,5,5,2,4,5,5,5,3,5,3,5,5,3,4,5,5,5,5,2,5,5,5
11,bd47306d1ab10377783e37d4d363e482,4,4,4,4,2,2,2,2,4,4,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3,3,4,3,3
12,87959ef435c61f280e3402229c796940,4,4,5,5,2,4,3,3,4,4,5,5,5,5,5,3,4,4,3,3,3,4,4,5,5,4,3,4,3,3,4,3,3,3,3
13,1361825bdeb54e5153e74389df8a2a10,4,2,2,3,2,2,3,4,3,3,4,4,3,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,5,3,3,3,3
14,ef3a6cc38845548b4329271ac48d638d,3,3,4,2,4,5,4,4,2,3,2,1,3,2,3,1,5,5,4,2,2,4,2,5,5,4,4,4,3,4,5,1,3,4,3
15,2bd3b13fa417ca0970aa75e44af86549,3,3,4,3,3,3,2,2,4,4,3,1,1,3,2,1,3,3,1,2,1,3,2,4,2,2,1,4,3,2,5,1,2,1,1
16,641eaeb08588407b37b1c2c109b59761,4,4,1,5,2,1,1,1,4,5,4,4,2,5,4,3,3,5,3,4,4,5,5,5,5,5,5,5,5,5,5,2,5,3,5
17,291a6ecd1a6e4a45fcb3f02c1cdcdf59,5,5,1,5,1,1,1,3,3,3,5,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18,d60df871c935791074fe3fc9c919b1e4,4,4,2,2,2,2,2,2,5,5,4,4,3,4,5,4,3,5,5,5,4,5,4,5,5,5,5,5,5,5,5,4,4,5,5
19,f65238cddaeec1be538e9c1a5990e48f,4,4,2,4,2,3,3,3,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,3,3
20,a3891cc21e1dd0051caa212b95c928f0,4,4,2,4,2,2,2,2,4,4,4,3,4,4,4,3,3,4,4,4,3,4,4,4,3,4,4,4,4,4,3,3,3,4,4
21,c4430d195d70c8839843f381270e93cd,4,2,4,3,4,3,3,3,5,4,4,3,4,5,4,4,4,3,5,3,4,5,5,5,2,4,4,5,5,5,1,5,4,5,5
22,a6f51cc7deb4cb5c5f493747f0e6e3a5,4,5,3,4,3,3,2,2,4,4,4,3,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,4,4,4,3,3,4,3,4
23,481c56986ebae62c870b0da9bbafc5c6,5,3,2,4,2,3,3,2,5,4,4,4,4,4,4,4,4,5,5,4,2,4,5,5,5,5,4,5,3,4,5,5,5,5,5
24,a7e82fef913fa275bef458aade2e5ae4,3,4,2,4,2,2,2,2,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,3,4,4,3,4,4,3,3,4,4,4
25,bebc49073c8a5def929612def946c281,3,4,2,3,1,1,1,1,4,5,4,3,1,5,4,1,4,5,5,5,1,4,1,4,2,3,2,4,4,4,3,2,2,2,4
26,ac1e76937ad33baafa1c9d0fc8675ea2,5,2,4,2,4,4,2,4,3,2,4,2,4,4,4,2,5,5,5,2,2,4,5,5,4,4,4,5,4,4,2,2,4,4,4
27,27c8f93d752f0222aa211e0691cebee4,4,5,2,4,2,2,1,3,5,5,5,3,5,5,4,3,5,5,5,5,3,4,3,5,5,5,4,4,3,3,5,3,5,4,5
28,c07f5585e0746dbf1021e0534565fc94,4,3,4,4,3,2,2,2,4,4,4,2,3,4,4,2,4,4,3,4,3,4,4,5,3,3,3,4,5,5,4,2,3,2,4
29,e7c31c99746c006608f2d55c633af5e3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30,41ec69e13985861a5b014318f13ab1e1,4,3,5,3,3,3,5,4,3,4,5,3,3,5,5,4,4,4,5,5,3,5,3,5,5,5,5,5,5,5,3,3,5,5,5
31,fbc64c2a6c18eb693cb24d8081e034df,5,5,1,5,1,3,3,4,4,3,4,4,3,4,2,4,3,5,4,4,5,3,4,4,4,4,4,4,4,5,5,3,4,5,4
32,604adb5a2ffd0f8313a8b6f1da784ba5,3,4,2,4,2,2,2,2,4,4,4,3,3,4,4,3,3,4,3,4,2,4,3,4,4,4,4,4,4,4,3,4,4,4,4
33,2979bd5d5a584c2aa70f4a434412bc2b,5,3,5,4,2,3,5,5,4,3,4,3,5,5,4,2,1,5,3,3,3,5,3,5,4,4,4,4,4,4,1,1,3,5,3
34,0cebfa477ed3e2e0c5a3f9aa96c23698,4,4,2,4,3,2,2,3,4,4,4,3,3,4,3,2,3,4,4,4,3,4,2,4,4,4,4,4,4,4,4,3,3,4,4
35,deab088838618d0f80db74ae4a277269,5,5,1,4,3,3,3,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,4,4,4
36,c054e8c731029ce6d73c784213513b09,5,3,3,5,4,3,2,4,4,3,4,5,2,5,5,5,5,5,5,1,3,5,5,5,5,5,5,4,3,2,1,4,4,4,5
37,92c1e87578f7b00e26df9d0ad21c63da,5,3,2,4,3,3,2,4,5,4,5,4,2,5,5,2,4,5,4,5,4,3,3,5,5,5,5,5,5,5,3,3,5,3,5
38,ca7f48cb0d61ed7c967adf1a0010367e,5,5,3,4,2,2,2,2,4,4,4,5,3,4,4,3,4,4,4,5,3,4,4,5,4,4,4,4,4,4,4,3,4,4,4
39,b1dfc5c6ec04d46d1823c5fa972ad320,5,5,3,2,1,2,1,1,5,5,4,5,1,5,4,3,3,5,2,5,3,5,5,5,4,5,5,5,5,5,1,5,4,2,4
40,6d5a2a59f6f376602a835fe57c70455b,4,4,4,4,3,3,3,2,4,4,4,2,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
41,a6a0726e8604766b4636749d9203842b,5,3,4,3,2,3,4,3,5,4,4,5,5,4,3,3,5,5,5,3,4,4,3,5,5,5,5,4,4,5,5,4,5,5,5
42,f5fd1f70d1747238d53ec5ef722d68d7,5,4,3,4,2,2,2,2,4,4,4,3,4,4,4,3,3,5,4,3,3,3,3,4,4,3,4,4,4,4,3,2,4,3,4
43,b69c06f1f563ace3c69c7b32f2a6c850,4,4,2,3,4,4,2,4,4,4,4,5,5,5,4,4,4,4,5,4,4,4,2,4,4,3,3,4,4,4,3,4,4,4,4
44,b64ce7758b9f7e58f1ad8bbcf7811e7d,5,3,3,3,1,2,2,1,5,5,5,5,5,5,4,4,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,4,5,5,5
45,4e3519d7eafbfccdae231756fcf2ce9c,4,4,2,3,2,2,2,2,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
46,9164431ab0c5402e0d787cffc0bc42c8,5,5,1,5,1,1,1,1,5,5,5,5,3,5,5,3,3,5,3,3,3,3,1,3,3,5,5,3,3,3,3,3,5,3,5
47,acc2ce1e332284a8a55fb7e2fd8bf7c3,4,4,3,4,3,3,3,3,4,3,3,3,4,4,3,2,3,4,4,4,3,3,2,4,2,3,3,4,4,4,4,1,2,3,4
48,479e88f02385c56f386d07d59f02a3b2,4,4,3,3,3,3,3,3,4,4,3,4,4,3,4,2,2,4,2,4,3,3,3,4,4,3,4,4,3,4,4,2,3,3,3
49,ef42bcd3300605e66dc7f8c01f773dec,5,2,3,3,2,3,3,2,4,4,5,3,5,5,5,3,4,5,4,3,3,4,5,5,4,4,4,5,5,5,3,3,3,4,4
50,3d606cd38291c1e5941bc1c37f84f216,4,4,2,4,1,2,2,1,4,4,4,1,2,4,4,1,2,4,2,2,1,3,1,4,3,3,3,4,3,3,3,1,4,1,2
51,4f9f1b81a07e3a192853ab1099a68fca,4,4,2,5,1,3,4,1,5,4,5,3,4,5,5,3,3,4,4,4,3,4,3,5,4,4,4,4,4,4,4,2,4,4,4
52,4c2a6bec22f436e1b14bbefa24443b4d,5,4,3,3,2,2,3,2,4,4,5,4,5,4,5,3,5,5,5,4,4,5,5,5,5,5,5,5,5,5,3,3,5,4,5
